"Series","ModelID","ARMA_P","ARMA_Q","GARCH_P","GARCH_Q","Distribution","Model","AIC","BIC","HQIC","LogLikelihood","Convergence","Error"
1,42,1,0,1,2,"sstd","sGARCH",2.19781242453697,2.21149499027621,2.19780269624843,-3972.23830083645,FALSE,NA
1,43,0,1,1,2,"sstd","sGARCH",2.19718171671922,2.21086428245846,2.19717198843068,-3971.0960889785,FALSE,NA
1,44,1,1,1,2,"sstd","sGARCH",2.18959043117059,2.20498331762724,2.18957812331936,-3956.34827084994,FALSE,NA
1,45,0,0,2,2,"sstd","sGARCH",2.20190786949597,2.21559043523522,2.20189814120744,-3979.65515165721,FALSE,NA
1,46,1,0,2,2,"sstd","sGARCH",2.19352476189459,2.20891764835124,2.19351245404337,-3963.47334379111,FALSE,NA
1,47,0,1,2,2,"sstd","sGARCH",2.19281847018429,2.20821135664094,2.19280616233307,-3962.19424950375,FALSE,NA
1,48,1,1,2,2,"sstd","sGARCH",2.18531377265612,2.20241697983018,2.18529858334626,-3947.60324228024,FALSE,NA
1,49,0,0,1,1,"norm","eGARCH",2.2466127253405,2.25516432892753,2.2466089210413,-4063.61564559165,FALSE,NA
1,50,1,0,1,1,"norm","eGARCH",2.24186829936391,2.25213022366835,2.24186282318423,-4054.02349014804,FALSE,NA
1,51,0,1,1,1,"norm","eGARCH",2.24193599961317,2.25219792391761,2.2419305234335,-4054.14609529946,FALSE,NA
1,52,1,1,1,1,"norm","eGARCH",2.24240412510222,2.25437637012406,2.24239667414839,-4053.99387056012,FALSE,NA
1,53,0,0,2,1,"norm","eGARCH",2.24657568530072,2.25854793032256,2.24656823434689,-4061.5485660796,FALSE,NA
1,54,1,0,2,1,"norm","eGARCH",2.24078246497431,2.25446503071356,2.24077273668577,-4050.05704406848,FALSE,NA
1,55,0,1,2,1,"norm","eGARCH",2.24075316791328,2.25443573365252,2.24074343962474,-4050.00398709095,FALSE,NA
